== Runs for test case cube2 (1 Mio. nodes) on KNL 7210 Xeon Phi processor in cached mode

KMP_AFFINITY 	MPI 	threads/task 	assembly time (s) 	performance
scatter 	2 	128 (4) 	2.2800 			3.70671
scatter 	4 	64 (4) 		2.2708 			3.69176
scatter 	8 	32 (4) 		2.5897 			4.21021
scatter 	16 	16 (4) 		2.5689 			4.17639
scatter 	32 	8 (4) 		2.4920 			4.05137
scatter 	64 	4 (4) 		2.4986 			4.0621
balanced 	1 	64 (1) 		2.2709 			3.69192
balanced 	2 	32 (1) 		1.8956 			3.08178
balanced 	4 	16 (1) 		1.8829 			3.06113
balanced 	8 	8 (1) 		1.8011 			2.92814
balanced 	16 	4 (1) 		1.7021 			2.76719
balanced 	32 	2 (1) 		1.7118 			2.78296
balanced 	64 	1 (1) 		1.8759 			3.04975
balanced 	1 	128 (2) 	2.3986 			3.89953
balanced 	2 	64 (2) 		2.4316 			3.95318
balanced 	4 	32 (2) 		2.4507 			3.98423
balanced 	8 	16 (2) 		2.6594 			4.32352
balanced 	16 	8 (2) 		2.4849 			4.03983
balanced 	32 	4 (2) 		2.4522 			3.98667
balanced 	64 	2 (2) 		2.4983 			4.06162
balanced 	1 	256 (4) 	2.3840 			3.87579
balanced 	2 	128 (4) 	2.2563 			3.66818
balanced 	4 	64 (4) 		2.2605 			3.67501
balanced 	8 	32 (4) 		2.6199 			4.25931
balanced 	16 	16 (4) 		2.5738 			4.18436
balanced 	32 	8 (4) 		2.5060 			4.07413
balanced 	64 	4 (4) 		2.4791 			4.0304

== Runs for test case cube3 (3.3 Mio. nodes) on KNL 7210 Xeon Phi processor in cached mode.
KMP_AFFINITY 	MPI 	threads/task 	assembly time (s) 	performance
        	tasks 	(hypertreading) assembly time (s) 	timing KNL/E5-2690v3
compact 	2 	32 (1) 		6.2505 			3.03128
compact 	4 	16 (1) 		6.1572 			2.98603
compact 	8 	8 (1) 		6.0782 			2.94772
compact 	16 	4 (1) 		5.9067 			2.86455
compact 	32 	2 (1) 		5.2953 			2.56804
compact 	64 	1 (1) 		5.9947 			2.90723
compact 	2 	64 (2) 		7.9943 			3.87696
compact 	4 	32 (2) 		8.3438 			4.04646
compact 	8 	16 (2) 		8.3390 			4.04413
compact 	16 	8 (2) 		8.5355 			4.13943
compact 	32 	4 (2) 		7.9908 			3.87527
compact 	64 	2 (2) 		8.3313 			4.0404
compact 	2 	128 (4) 	7.4633 			3.61945
compact 	4 	64 (4) 		7.5706 			3.67148
compact 	8 	32 (4) 		8.4612 			4.10339
compact 	16 	16 (4) 		8.7333 			4.23535
compact 	32 	8 (4) 		8.1695 			3.96193
compact 	64 	4 (4) 		8.2248 			3.98875
scatter 	2 	32 (1) 		6.3669 			3.08773
scatter 	4 	16 (1) 		6.2917 			3.05126
scatter 	8 	8 (1) 		6.3321 			3.07085
scatter 	16 	4 (1) 		5.3333 			2.58647
scatter 	32 	2 (1) 		5.4243 			2.6306
scatter 	64 	1 (1) 		5.7641 			2.79539
scatter 	2 	64 (2) 		7.9519 			3.8564
scatter 	4 	32 (2) 		8.4090 			4.07808
scatter 	8 	16 (2) 		8.3503 			4.04961
scatter 	16 	8 (2) 		8.1920 			3.97284
scatter 	32 	4 (2) 		8.1317 			3.9436
scatter 	64 	2 (2) 		8.1482 			3.9516
scatter 	2 	128 (4) 	7.4120 			3.59457
scatter 	4 	64 (4) 		7.5423 			3.65776
scatter 	8 	32 (4) 		8.4186 			4.08274
scatter 	16 	16 (4) 		8.6680		 	4.20369
scatter 	32 	8 (4) 		8.2942		 	4.02241
scatter 	64 	4 (4) 		8.1412 			3.94821
balanced 	2 	32 (1) 		6.4096 			3.10844
balanced 	4 	16 (1) 		5.8557 			2.83982
balanced 	8 	8 (1) 		6.6180 			3.20951
balanced 	16 	4 (1) 		5.5102 			2.67226
balanced 	32 	2 (1) 		5.3160		 	2.57808
balanced 	64 	1 (1) 		5.7416 			2.78448
balanced 	2 	64 (2) 		8.0363		 	3.89733
balanced 	4 	32 (2) 		8.4098		 	4.07847
balanced 	8 	16 (2) 		8.3095		 	4.02983
balanced 	16 	8 (2) 		8.3710		 	4.05965
balanced 	32 	4 (2) 		8.0805		 	3.91877
balanced 	64 	2 (2) 		8.1906		 	3.97216
balanced 	2 	128 (4) 	7.9155		 	3.83875
balanced 	4 	64 (4) 		8.0540 			3.90592
balanced 	8 	32 (4) 		8.3631 			4.05582
balanced 	16 	16 (4) 		8.7819 			4.25892
balanced 	32 	8 (4) 		8.2886 			4.01969
balanced 	64 	4 (4) 		8.2159 			3.98443
